text,sentiment
puass belanja shopee,Positif
parah paket pakai kirim spx parah pindah tokopedia,Negatif
menit update,Positif
diskon,positif
bagus murah kode voucher ya apalagi beuuh the best dek belanja shoppe alwayas shoppe my heart and life,Positif
mantap,positif
tunggu,Negatif
cus tangan,positif
voucher vip ya gratis ongkir senang belanja gratis ongkir kayak kecewa langgan vip,positif
lelet jelek bikin makas belanja,negatif
mudah bantu cari tinggal buka aplikasi mana transaksi mudah good style,Positif
murah cashbacknya,Positif
shopee top belanja,positif
tangan,positif
shopee lambat kirim barang,positif
maaf ya shopeeaku pesan barang paket suka lengkap kecewa rugi,positif
aplikasi populer jangkau daerah manapunmudah cepat tolong perhati sat konsumen biar rugi mesan toko sesuai sat kembali dana,positif
good,positif
koin depa banyak kesini cekout shopee live,positif
aplikasi belanja baik sih level gold and ya banget promo menariknyabarangnya orisinal oriaku kena barang palsu cek out shopeeintinya shopee bestt deh,positif
barang kemas bagus cepat kurir ramah,Positif
gagal layan konsumen,negatif
pokok shopee mantap,positif
beli barang shopee harga jangkau kualitas barang sesuai hargamakasi shopee belanja mudah,positif
shoopi amanah senang belanja shoopimoga amanah langgan shoopi,positif
puas aplikasi aplikasi sangaaaaaaatttt sangatttt guna belanja apa ragu ragu dwonload aplikasi shopee indonesia,negatif
puas dgan brng pesan sesuai rim cepat ongkir murah,positif
belanja mudah barang orisinal kirim cepat,positif
tentuy murah praktis toko barangy bagus terimakasih shopee,positif
beli shopee pakai shopee pay bayar langsung kes bonus promo murah harga standar beli apa dishopee sepdah listrik tv kipas angin kulkas pantesan beli langsung bayar shopee pay kes,positif
mantap keren good job,positif
belanja mudah ribet murah diskon bebas ongkir cepat layan super prima aplikasi bantu konsumen,negatif
puass,Positif
mudah belanja,Negatif
shopee mudah belanja butuh,negatif
layan baikpertahankantingkatkan jaga ya,positif
hebat,Positif
keren belanja tarik,positif
aplikasi bagus cod benci kesallllll mesan cod aktif,negatif
shopee the best,Negatif
barang bagus bagus,Negatif
happy shoping,positif
okey,Positif
cepattepat langgan belanja online,positif
suka,Negatif
mantap jos barang bagus tebal sesuai promosi,positif
langgan shoppi harap shoppi selektif mitra dagang barang harga tera langgan puas,positif
pesan barang sesuai cepat,positif
mantap banget aplikasi harga murah kurir ramah langgan banget nih shoope murah riah,positif
asih diskon gede gede an cicil rekomen banget,positif
shopee mantap,positif
nih,Negatif
cerdas pilih belanja,negatif
bantu mama hemat dikit,Negatif
shopee bagus langgan bulan cowok item cuman kirim rumah suka malam kadang isya normal sore jam an normal kaya terima kasih,positif
bagus ongkir,Negatif
cepatbarang asli original murah,positif
ya muncul iklan spinjaman layar hpsangat ganggu sekalitolong kasih solusi hilang,positif
best market,Positif
mantap,positif
belanja jalan kaki dtang puas hasil,positif
pesan barang shopee kecewa kirim barang kualitas ya muas ragu kualitas kurir ramah kadang kirim,positif
ok,positif
cs gaguna asih solusi ya nyuruh coba ujung ujung hasil ya,positif
free ongkir,positif
konsumen komplain disembunyiin ulasanya payah pantesan seller tipu,negatif
program cod bantu,Negatif
shopee baik puas belanja shopee i love you shopee,positif
suka ya kirim shopee,positif
barang terima alhamdulillah pas hati,positif
bantu aplikasi,negatif
shopee best no,Positif
ok pakai banget,positif
recomendasilah baik shopee,Positif
sip,Negatif
belanja mudah pilih,negatif
pop up iklan parah banget luar aplikasi pop up banget shopee maksa banget,positif
belanja shopee mudahbanyak voucher belanja nyapromo diskonapalagi tanggal kembar shopee the best love pokok,negatif
bantu keperlusn dubutuhkan layan ramah santun komunikasi layan,Positif
saran min baik sistem kirim lambat teman terimakasih,positif
beli online ok,positif
murah hemat ribet capek belanja,negatif
bagus josjisss,Positif
oke bareng bagus,positif
shopi barang bagus murah senyum haha,Positif
shope oke,positif
terimakasih sesuai barang bagus,positif
mantap ide jual,positif
muas,positif
toko amanah,positif
puas shopee senang langgan,positif
mantul kurir oksemuanya ok,positif
menggunakanshopeesangat muas,positif
saran kasih hadiah hadiah langsung langgan setia kasih hadiah kaos shopee celana tv sepeda kasih iphone berhayal kasih mobil mimpi tingkat member nama doang,positif
shopee sellernya rugi seller kirim pipa pvc dimensi ukur dilebihin ukur aseli ya kena denda dimensi,positif
mantap pokok shopee baik,positif
mesan barang terima sesuai moga toko toko shopee amanah maaf pesan toko sekalisekali niat bohong konsumen kasihan konsumen paut belanja shopee terimakasih,positif
brk,Positif
buanyak pilih,negatif
puas sistem cod ya,positif
uang ribu shopee nipu jugajadi manaapa,Negatif
puasa ya shopee,Negatif
puas,positif
aplikasi shopee guna belimenjual barang udahitu,Negatif
cowok keranjang muncul pesan,Positif
urus gampang,Positif
oke banget bantu transaksi punbebas biaya hehe cakeeepp,positif
bagus banget beli barang,positif
bayar kes kendala ujung bikin rugi costumer haloo belanja butuh ya dar hambur kaya expedisinya spx murah propesional lelet ampun otomatis aktif kayak upil nemploktolong shope layan tingkat lagibukannya kali kali loh langgan nyaman terganggukami warga indonesia sellu depan shope shopingplis deh,positif
senang,Positif
sopee mantap,positif
aplikasi lot,negatif
produk bilamana langsung dana terima kasih shopee tahan sop,positif
shopee aneh skarng lihat produk gilir cekout ngelek tolong baik cepat,positif
belanja rubet,Negatif
potong ya gratis ongkir,positif
proses antar,positif
muas belanja shopee,positif
puas aplikasi shopee,Positif
harga sesuai paket,positif
belanja shopee,Negatif
barang baguscurirnya ramah,Negatif
cocok perlu kirim trimakasih shopee mudah mudah minat,positif
shopee ok,positif
puas banget belanja shoope,positif
masalah akun selesai bintang,negatif
hehehe suka belanja shoppe harga murah kirim cepat,positif
mudah terpecaya,Positif
kecewa,Negatif
murah tawwa,Negatif
mantap,positif
belanjacd shopee ribet,negatif
maju shopee mudah butuh percaya,Positif
mantaaaappp,Negatif
aplikasi ya jelek macet,negatif
tipu bagus pas mesan,positif
terima kasih shopesemoga aplikasi nomor industri indonesia dunia i love lu,Positif
suka banget shopee bagus pokok top markotop mudah banget,positif
mantap lek,positif
bagus susah datfar paylater,negatif
belanja murah kualitas shopee cari apa produk shopee,Negatif
jos,Negatif
bantu butuh seharihari rumah tangga perlu pekerjaandn gratis ongkir nyatrimsshopie,positif
belanja murah,Negatif
mantap toko oren the best,positif
ya bagus,positif
puas belanja shopee,positif
not good but not bad,Negatif
bagus murah riah sekian trimah gaji,positif
terimakasih shopee,positif
transfer dana masuk akun nomor hp kirim nick name apk aneh,positif
senang,Positif
saran kirim pakai jnt shopee expres sicepat buruk kirim kota terima tunda hari kirim kurir kirim paket rumah jnt shopee xpres aman bagus,positif
kebnyakn iklan tv lo kirim lambat telat baik ekspedisi lo bacotkurir shopee lambat beda banget lex id super cepat ganti nama shopee slow paket,positif
top aplikasi shopping,Positif
shope bagus barang jual percaya,positif
josht pokoke karya bravo shopee alhamdulillah kecewa langgan jasa kirim cepat barang murah perthankannn,positif
bagus temu barang,positif
tingkat kuantitas kualitas,positif
topp,Positif
limit pylaternya biar belanja elektronik,Negatif
aplikasi jelek aplikasi muncul apk ya aplikasi jelek ganggu,negatif
niat ngantarin,Negatif
shopee bagus belanja online kirim ya aman pokok mesen barang online beli shopee hemat mudah,positif
cuba ya shope upgrade tolong upgrade sedia apk nomor kurir antar paket kayak tetangga sih biru biar paket salah rumah orang langsung kurir chat cs shopee gampang banget omong aju kembali kelas shopee marketplace no kurir tau up kurir langsung ekspedisi shope instan ya ekspedisi,positif
belanja shopee cepat amanah sukses shopee,positif
barang sesuai pesan,positif
aplikasi bantu belanja butuh hari,negatif
belanja mudah mudah masalah cepat selesai,negatif
suka tonton koinbonus,negatif
apk bantu,Negatif
pokok mantap,positif
maaf kadang barang beli sesuai gambar barang kirim suka,positif
bagus bantu belanja online,Negatif
mudah mudah belanja konsumen ya,positif
rekomendeedd,Positif
cepat respon,positif
au belanja shopee nyaman aman puas belanja shopee,positif
bantu sibuk giat,Negatif
kirim cepat,positif
estimasi ya suka ubah ubah kayak ngulur ada nama garansi ujungujungnya ubah ubah estimasi ya,positif
bagus belanja,Negatif
moga harga promo ya,positif
aplikasi online baik,negatif
amanah,positif
cari barang terbaiiiik,negatif
pengin beli jala,positif
bagus,Positif
murah kualitas,positif
jelek optimalisasi aplikasi makan ram genshin impek kalah internet unduh mbps up mbps error,negatif
mantap servis exelen,positif
aplikasi,negatif
belanja mudah,Positif
suka aplikasi shopee suka belanja online pilih butuh apa,negatif
shopee cepat kirim barang ya,positif
aplikasi ok banget,positif
nyamantapi lupa belo cek komentar bintang,negatif
kesini kirim lambat minggu tunggu,positif
hapus biaya cicilanbunga cicil spaylater bunga cekik hitung barang bunga cicil cicil spaylater biaya penangananelor bayar tagih,negatif
iklan muncul game,positif
markotop,Positif
mudah beli barang,Negatif
tuju sistem shopeetanggung kinerjasaya kecewa pilih chopeechopee belanja aman,negatif
mantap,positif
paket kurir songong tanggung blokir sop pilih kurir kepala toko,negatif
ya,positif
aing teh geus ganti alamat naha ari sia kala angger keneh alamatna nu tiheula,Positif
suka shopee,Positif
mantap,positif
ktp aktivasi ganti akun,positif
jerumus,Negatif
alam belanja disophee ya bagus lumayan bagus kadang ya sesuai tawar,positif
aplikasi bagus storenya bagus kesal spx ya paket reguler ekonomi guna luar pulau jawa spx suka kembali barang alas tolak beli tolong perhati kantor luar pulau spesifik bitung sulawesi utara sibuk kerja suruh ambil kantor kasih batas ambil kerja lembur,negatif
terimakasih,positif
layan kurir puas suka kembali barang jual seijin beli,positif
kali puas belanja shopee karane belanja shopee proses kirim ya cepat barang sesuai pesan,positif
bantu layan jual beli mudah layan consumen,positif
kirim siput lepas juta lelet banget kecewa parah,positif
mantull,Negatif
shopee namber,Negatif
bagus memeprmudahdh batu pakai sopee,Positif
bantu belanja cepat mudah,Positif
bagus bantu,Negatif
batu,Negatif
goodlah,Negatif
kirim minimal nyampai rumah minggu paket,positif
mantap man,Positif
barang murah bagus,Positif
shope fitur brengsek rubah tolong konfirmasi klik pesan terima sengaja klik pencet dikit langsung anggap selesai barang rumah users protes ubah bodoh,negatif
senang belanja,Positif
okee,Positif
nicd,Negatif
kadang hapus produk suka ngelag buka aplikasi,Negatif
mantap,positif
fitur lengkap,Negatif
shopee bantu belanja,Negatif
belanja mudah praktis mantap,positif
si leter riwayat lambat bayar,positif
layan jujur cepat,Negatif
bintang aplikasi batu percaya,Positif
bantu kala pengin belanja mager,negatif
kirim cepat pelsysnannys muas,positif
puas promo ya shopesering asih voucher ya shopelancar amin yrb,positif
masya allah barang sesuai gambar suka kirim cptkurirnya ramah,positif
shopee pakai anteraja beli korek api pakai spx,Positif
cerita top up shoppe baca kair eh tau uang balikin ribu,Negatif
bagus sesuai pesan,positif
bantu pilih barang belanja online,negatif
intlnya,Positif
bantu aju limit extra papa gin bantu terima kasih shopee,Negatif
shopee is the best,Negatif
ya opsi kirim akun loading lamakira kendala ya min,positif
aplikasi bagus,negatif
jamin aman terpecaya manntaaappp sukses shopee always shopee,Negatif
bagus bantu cari barang sulit cari terima kasih shope kasih bintang,negatif
manfaat,positif
bangus kurir cepat,Negatif
mudah belanja,Negatif
aplikasi percaya suka pakai shopee,Negatif
easy,Positif
ok terima kasih,positif
barang ya,positif
aplikasi lambat rekomendasi,Negatif
bantu belanja,Positif
asyik belanja,Positif
keren,Positif
baik,Positif
trmksh ya shopee bantu belanja iklan ya beranda ya trmksh,positif
mesen shopee sesal barang sesuai harga murah kirim cepat,positif
barang bagus tebaltp pasang,positif
bgusdan nyaman belanja,positif
semenjak kirim jasa spx huff,positif
shopee i like,Positif
aplikasi jual beli bagus tarik,positif
belanja shopee murah byar lwat,Positif
expedisi spx ya kaco banget woy barang estimasi paket kurir anter anter kemarin status ya pickup jalan kurir antar status ya jalan pagi spx prioritas expedisi jne jnt,positif
ukur ya suka nge leg,positif
memeuaskan,Negatif
shopee mantap diskon murah afk nya ya mudah erti,positif
bagus danhemat,Positif
kirim boy,positif
aplikasi ya bagus tolong baik dikit ya komplain jual kirim bukti video foto,positif
ok bonus,positif
sengaja kasih bintang biar baca suka banget apk shopee jarang beli kurir spx standart buruk paket pesan kali kirim alas rumah beli asli benci kurir tugas amanah spx standart mohon ditindaklanjuti paket butuh hasil,positif
bagus banget,positif
nokurir nya bayar pakai shopeepay barang nya suka nya amanah kurir ya costumer service nya bantu pokok jelek kayak lazada tokopedia,Positif
bagus banget bantu adams shopee,positif
bagus banget,positif
bagus voucher gratis ongkir mhehehehehe,positif
mantap mantap produk ya,positif
moga jaga paket ekspedisi,positif
memori ya besarjadi hp android kuatapakah shopee turun memori ya instal instal lagitolong kecil memori shopee ya,positif
belanja shoppeepuas sih kirim cepat its oke sihpembayarannya pakai qris,positif
aplikasi mudah belanja ribet toko pasartnggal duduk manis pesan,negatif
ongkirnya mahalbikin malas belanjamending belanja aplikasi belah,negatif
ya aplikasi shopee cod kali beli cod lagidan tolong shopee mbak ya besard hp memorikurangin mbak nyangeleg banget shopedan shopee banget kirim nyatolongggg,positif
ok,positif
nice,positif
cepat respon,positif
belanja gengaman mutar ongkos kirim murah free ong,positif
bagus banget bayak promo ya,positif
hebat,Negatif
pokok belanja kecewa dehapa pesan memuaskanjaya shopee,Negatif
terimakasih kerjasamanya untung jual beli sesuai pesan layan kirim toko amanah kurir tanggung kirim moga depan sukses,positif
mantap n percaya,positif
mantapzzzz bantu cari butuh hari cepat harga saing kirim target,Positif
puas shopee,positif
plng pas,positif
i like soppee please improve for shipping outside java sok its faster,negatif
ken bagus aplikasi,negatif
rem,negatif
puas blanja shopee shopee senang mnunggu rumah,positif
dukung,positif
beli barang palsu sesuai foto deskripsi ya kacau shopee,positif
anjay,negatif
layan shopee moga,positif
alam belanja tarik,positif
tresm barang pesan terima barang baju contoh gambar foto shopee,positif
suka,Positif
bagus banget,positif
bagus manfaat belanja mudah,positif
ewallet ya mantap shopee,positif
pay later ya pelit,positif
shope bantu,Negatif
kont bug nya wkwkkwkwk suara video tik tok hilang hapus historykadang eror kadang pesenhadeh tolong baik ya,Positif
suka belanja online shoope butuh,negatif
shopee indonesia bagus,Positif
terima kasih shopee,positif
puas suka aplikasi shopee muas,positif
belanja gampang murah,Positif
sempurna dunia shopee turut pribadi aplikasi bagus,negatif
barang kirim muas,positif
mantap,positif
bagus tolong awas jual tipu shopee ya,positif
kerenmurah riah layan oke,positif
gratis ongkirnyaterimaksih kak,positif
notifikasi ngagetin benci banget,positif
bagus mudah cari barang unik manfaat,Negatif
bagus sih kadang tekan aplikasi shopee masuk chromegoogle tolong baik kak sekian terima kasih,Negatif
mntap murah,Negatif
trimakasih aplikasi ya bantu butuh keluarga pribadi,Positif
shopee t belanja keren mantap tahan,positif
aplikasi produk bagus kwualtasnya produk ya zonk sesuai foto vidio ya,positif
bagus tingkat puas mudah konsumendan tolong jangkau produk lokal indonesia terima kasih,positif
shopee oknum mngatas nama shopeedgn tuju tipu orang,Positif
muas,positif
apk wajib hp,negatif
shopee pakai ekpedisi anteraja parah lot banget antar ya lewatin estimasi bagus,Negatif
update ulang aplikasi susah buka tampil shopee tanggap update kali buka tampil timbul shopee tanggap,negatif
tolong livevideo perangkat bug video jalan tonton ya menganggu,Positif
cocok banget sih belanja butuh,Positif
mntab,Positif
barang ya bagus kurir ya ramah sopan,positif
best toko,Negatif
alhamdulilah sesuai barang pesan,positif
produk deli bagus,positif
untung beli,Positif
suka aplikasi,negatif
jual nakal backlist biar belanja trllu mikir,Positif
jaga kualitas barang kirim cepat informatif,positif
guna banget sakit kaki susah jongkokserta bawa mana,Positif
shopeeel mantap,positif
good mudah belanja ongkir ya murah,positif
masak shopee pay klewat jatuh tempo aplikasi taaii,negatif
aplikasi limit tagih telat beku buka payah pakai shopee,negatif
suka aplikasi kasi fasilitas spaylater angsur spinjam turut kembali lebih credit card pepet bantu banget sih spinjam sayang cekik sih kesel game ya shopeebubble ya hadiah poin tukar koin,positif
barang barang suka habis bencana shopee murah banget,Positif
shopee memutusksn cod tiada alas cod batal barangnua lihat konfirmasi barang batal beli,Negatif
shopee ok,positif
pilih,negatif
suka shopee bantu cari barang daerah harga bantu,Negatif
apk ya berat tolong ringan eror halaman baik halaman muka ya buka apk langsung video,positif
biar bintang,Negatif
senang belanja sesuai butuh harga,positif
apli kasih tipu,Negatif
graris ongkir mantab,Negatif
lul,Positif
suka gratis ongkirnya,positif
bantu manfaat,positif
mudah belanja ribet,negatif
shope mantap belanja online trdasyat,positif
shopee barang ya murah riah ucap terima kasih shopee,positif
andal,Positif
aplikasi oke bintang expedisi mohon shopee tingkat masak tunggu terima paket pulau jawa estimasi kadang paket expedisi shopee kasih saran buka kerja expedisi jnt express biar paket tumpuk pusat sortir terimakasih,positif
butuh,negatif
puas,positif
masuk akun shopee pasahal isi saldo tolong costumer eror,negatif
pokok ya,positif
shopee cepat tanggap thd keluh konsumen,positif
belanja mudahtanpa ribetbarang cepat sesuai pesan,positif
shopee gratis ongkir pesan sesuai,positif
belanja ribet,negatif
kirim cepat,positif
okay,positif
moga jaya,positif
nice,positif
suka main ya,positif
senang aplikasi shopee,negatif
belanja online nyaman,positif
bagusshopee batu belanja online cepatdan,Negatif
kerja shopee hasil puas kerja cepat,positif
shopee ya bagus banget,positif
belanja shopee pribadi puas aspek layan kirim mudah shopee,positif
lemooooootttttttttt shopee nyaman banget buka aplikasi pikir kemarin lot ram hp ku ram eh hp ku ram makinn erorrrrr lemoottttt nyaman langgan mu tolong ya shopee dibagusin biar suka eror n lot tolong kondisi shopee live kadang muncul n ganggu,positif
update minimal kali simpan gb tahan kayak,negatif
bantu sibuk kerja,positif
next update ya kasih tema gelap ya min,Negatif
bintang deh dowanload,Negatif
shopee belanja kamuapa asih hadiah,Negatif
kirim kurir ya asik,positif
muas,positif
shoppe kemarin cod kategori pesan barang,Negatif
pokok ya shopi ok bantu,positif
gas bintang spaylater beku layan tuju lecet terima kasih shopee,negatif
live video ya nyaman iklan bug apk berat,positif
bonus,Positif
aplikasi shopee is the best layak bintang gaessss,negatif
bagus banget,positif
ok mantap,positif
barang terima dana kembali,positif
semangat belanja dishope,Negatif
