Date,Username,Rating,Review Text,cleaning,case_folding,normalisasi,tokenized,stopwords removal,steming_data,Sentiment
2025-07-10 23:11:44,Pengguna Google,5,bagus bngtt,bagus bngtt,bagus bngtt,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget,positif
2025-07-10 23:10:50,Pengguna Google,5,Dulu saya 8 tahun pke toko sebelah tp skrg pindah ke shopee krn lbh murah,Dulu saya  tahun pke toko sebelah tp skrg pindah ke shopee krn lbh murah,dulu saya  tahun pke toko sebelah tp skrg pindah ke shopee krn lbh murah,dulu saya tahun pakai toko sebelah tapi sekarang pindah ke shopee karena lebih murah,"['dulu', 'saya', 'tahun', 'pakai', 'toko', 'sebelah', 'tapi', 'sekarang', 'pindah', 'ke', 'shopee', 'karena', 'lebih', 'murah']","['pakai', 'toko', 'sebelah', 'pindah', 'shopee', 'murah']",pakai toko belah pindah shopee murah,negatif
2025-07-10 23:09:22,Pengguna Google,5,bagus aplikasinya,bagus aplikasinya,bagus aplikasinya,bagus aplikasinya,"['bagus', 'aplikasinya']","['bagus', 'aplikasinya']",bagus aplikasi,negatif
2025-07-10 23:08:24,Pengguna Google,1,"mending belanja di tiktokshop,apa lagi daftar paylater mudah dan nggk pake ribet,daftar nggk sampai 1 menit udah di acc,.belanja hari ini,bayar bulan depan,terimakasih tiktok paylater.",mending belanja di tiktokshopapa lagi daftar paylater mudah dan nggk pake ribetdaftar nggk sampai  menit udah di accbelanja hari inibayar bulan depanterimakasih tiktok paylater,mending belanja di tiktokshopapa lagi daftar paylater mudah dan nggk pake ribetdaftar nggk sampai  menit udah di accbelanja hari inibayar bulan depanterimakasih tiktok paylater,mending belanja di tiktokshopapa lagi daftar paylater mudah dan tidak pakai ribetdaftar tidak sampai menit sudah di accbelanja hari inibayar bulan depanterimakasih tiktok paylater,"['mending', 'belanja', 'di', 'tiktokshopapa', 'lagi', 'daftar', 'paylater', 'mudah', 'dan', 'tidak', 'pakai', 'ribetdaftar', 'tidak', 'sampai', 'menit', 'sudah', 'di', 'accbelanja', 'hari', 'inibayar', 'bulan', 'depanterimakasih', 'tiktok', 'paylater']","['mending', 'belanja', 'tiktokshopapa', 'daftar', 'paylater', 'mudah', 'pakai', 'ribetdaftar', 'menit', 'accbelanja', 'inibayar', 'depanterimakasih', 'tiktok', 'paylater']",mending belanja tiktokshopapa daftar paylater mudah pakai ribetdaftar menit accbelanja inibayar depanterimakasih tiktok paylater,Positif
2025-07-10 23:07:24,Pengguna Google,5,jozz,jozz,jozz,jozz,['jozz'],['jozz'],jozz,Negatif
2025-07-10 23:07:11,Pengguna Google,5,bagus&sangat membantu sekali,bagussangat membantu sekali,bagussangat membantu sekali,bagussangat membantu sekali,"['bagussangat', 'membantu', 'sekali']","['bagussangat', 'membantu']",bagussangat bantu,Positif
2025-07-10 23:05:36,Pengguna Google,5,dhebest,dhebest,dhebest,dhebest,['dhebest'],['dhebest'],dhebest,Negatif
2025-07-10 23:05:03,Pengguna Google,5,membantu sekali ini aplikasi,membantu sekali ini aplikasi,membantu sekali ini aplikasi,membantu sekali ini aplikasi,"['membantu', 'sekali', 'ini', 'aplikasi']","['membantu', 'aplikasi']",bantu aplikasi,negatif
2025-07-10 23:04:06,Pengguna Google,5,"Shopee terbaik! Hemat, lengkap, dan praktis Shopee jadi aplikasi belanja online andalan saya. Pilihan produknya sangat lengkap, mulai dari kebutuhan sehari-hari, gadget, sampai komik pun ada! Promo gratis ongkir dan voucher cashback juga sangat membantu menghemat belanja. Aplikasi ini stabil, mudah digunakan, dan user interface-nya ramah banget. Fitur ShopeePay dan SPayLater juga praktis untuk transaksi. Plus, sekarang saya makin sering dapat promo karena masuk Shopee VIP mantap banget",Shopee terbaik Hemat lengkap dan praktis Shopee jadi aplikasi belanja online andalan saya Pilihan produknya sangat lengkap mulai dari kebutuhan seharihari gadget sampai komik pun ada Promo gratis ongkir dan voucher cashback juga sangat membantu menghemat belanja Aplikasi ini stabil mudah digunakan dan user interfacenya ramah banget Fitur ShopeePay dan SPayLater juga praktis untuk transaksi Plus sekarang saya makin sering dapat promo karena masuk Shopee VIP mantap banget,shopee terbaik hemat lengkap dan praktis shopee jadi aplikasi belanja online andalan saya pilihan produknya sangat lengkap mulai dari kebutuhan seharihari gadget sampai komik pun ada promo gratis ongkir dan voucher cashback juga sangat membantu menghemat belanja aplikasi ini stabil mudah digunakan dan user interfacenya ramah banget fitur shopeepay dan spaylater juga praktis untuk transaksi plus sekarang saya makin sering dapat promo karena masuk shopee vip mantap banget,shopee terbaik hemat lengkap dan praktis shopee jadi aplikasi belanja online andalan saya pilihan produknya sangat lengkap mulai dari kebutuhan seharihari gadget sampai komik pun ada promo gratis ongkir dan voucher cashback juga sangat membantu menghemat belanja aplikasi ini stabil mudah digunakan dan user interfacenya ramah banget fitur shopeepay dan spaylater juga praktis untuk transaksi plus sekarang saya makin sering dapat promo karena masuk shopee vip mantap banget,"['shopee', 'terbaik', 'hemat', 'lengkap', 'dan', 'praktis', 'shopee', 'jadi', 'aplikasi', 'belanja', 'online', 'andalan', 'saya', 'pilihan', 'produknya', 'sangat', 'lengkap', 'mulai', 'dari', 'kebutuhan', 'seharihari', 'gadget', 'sampai', 'komik', 'pun', 'ada', 'promo', 'gratis', 'ongkir', 'dan', 'voucher', 'cashback', 'juga', 'sangat', 'membantu', 'menghemat', 'belanja', 'aplikasi', 'ini', 'stabil', 'mudah', 'digunakan', 'dan', 'user', 'interfacenya', 'ramah', 'banget', 'fitur', 'shopeepay', 'dan', 'spaylater', 'juga', 'praktis', 'untuk', 'transaksi', 'plus', 'sekarang', 'saya', 'makin', 'sering', 'dapat', 'promo', 'karena', 'masuk', 'shopee', 'vip', 'mantap', 'banget']","['shopee', 'terbaik', 'hemat', 'lengkap', 'praktis', 'shopee', 'aplikasi', 'belanja', 'online', 'andalan', 'pilihan', 'produknya', 'lengkap', 'kebutuhan', 'seharihari', 'gadget', 'komik', 'promo', 'gratis', 'ongkir', 'voucher', 'cashback', 'membantu', 'menghemat', 'belanja', 'aplikasi', 'stabil', 'mudah', 'user', 'interfacenya', 'ramah', 'banget', 'fitur', 'shopeepay', 'spaylater', 'praktis', 'transaksi', 'plus', 'promo', 'masuk', 'shopee', 'vip', 'mantap', 'banget']",shopee baik hemat lengkap praktis shopee aplikasi belanja online andal pilih produk lengkap butuh seharihari gadget komik promo gratis ongkir voucher cashback bantu hemat belanja aplikasi stabil mudah user interfacenya ramah banget fitur shopeepay spaylater praktis transaksi plus promo masuk shopee vip mantap banget,positif
2025-07-10 23:03:34,Pengguna Google,5,CEPAT DAN BNYAK DISKON,CEPAT DAN BNYAK DISKON,cepat dan bnyak diskon,cepat dan banyak diskon,"['cepat', 'dan', 'banyak', 'diskon']","['cepat', 'diskon']",cepat diskon,positif
2025-07-10 23:01:09,Pengguna Google,5,best the best,best the best,best the best,best the best,"['best', 'the', 'best']","['best', 'the', 'best']",best the best,Positif
2025-07-10 23:00:20,Pengguna Google,1,Aplikasi nya jelek sering macet,Aplikasi nya jelek sering macet,aplikasi nya jelek sering macet,aplikasi ya jelek sering macet,"['aplikasi', 'ya', 'jelek', 'sering', 'macet']","['aplikasi', 'ya', 'jelek', 'macet']",aplikasi ya jelek macet,negatif
2025-07-10 22:58:50,Pengguna Google,5,aplikasi nyaa sangattt bagguuusss,aplikasi nyaa sangattt bagguuusss,aplikasi nyaa sangattt bagguuusss,aplikasi nya sangat bagguuusss,"['aplikasi', 'nya', 'sangat', 'bagguuusss']","['aplikasi', 'nya', 'bagguuusss']",aplikasi nya bagguuusss,negatif
2025-07-10 22:58:26,Pengguna Google,4,aplikasi belanja terbaik,aplikasi belanja terbaik,aplikasi belanja terbaik,aplikasi belanja terbaik,"['aplikasi', 'belanja', 'terbaik']","['aplikasi', 'belanja', 'terbaik']",aplikasi belanja baik,negatif
2025-07-10 22:56:33,Pengguna Google,5,sangat terbantu.barang yg susah dicari di daerah bisa dapat.. semoga makin sukses...,sangat terbantubarang yg susah dicari di daerah bisa dapat semoga makin sukses,sangat terbantubarang yg susah dicari di daerah bisa dapat semoga makin sukses,sangat terbantubarang yang susah dicari di daerah bisa dapat semoga makin sukses,"['sangat', 'terbantubarang', 'yang', 'susah', 'dicari', 'di', 'daerah', 'bisa', 'dapat', 'semoga', 'makin', 'sukses']","['terbantubarang', 'susah', 'dicari', 'daerah', 'semoga', 'sukses']",terbantubarang susah cari daerah moga sukses,Negatif
2025-07-10 22:56:08,Pengguna Google,5,sangat membantu,sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu,Positif
2025-07-10 22:55:47,Pengguna Google,5,sangat puas,sangat puas,sangat puas,sangat puas,"['sangat', 'puas']",['puas'],puas,positif
2025-07-10 22:55:41,Pengguna Google,1,"disini pelayanan kurang baik, expedisi sering seenak udelnya membatalkan pesanan,pengiriman tdk muncul ditunggu sampai jam 12 sgni,tdk muncul.ujung2nya dikatakan pembeli minta dikirim ulang,pdahal tdk ada datang ngirim. yg batalkan pesanan sy dari expedisi,pembatalan sepihak tp ujung2nya sy yg dibilang membatalkan.akhirnya sy tidak bisa COD saat CO,di blokir pihak Shopee,kecewa dn tdk ingin pake aplikasi jangka panjang!!!",disini pelayanan kurang baik expedisi sering seenak udelnya membatalkan pesananpengiriman tdk muncul ditunggu sampai jam  sgnitdk munculujungnya dikatakan pembeli minta dikirim ulangpdahal tdk ada datang ngirim yg batalkan pesanan sy dari expedisipembatalan sepihak tp ujungnya sy yg dibilang membatalkanakhirnya sy tidak bisa COD saat COdi blokir pihak Shopeekecewa dn tdk ingin pake aplikasi jangka panjang,disini pelayanan kurang baik expedisi sering seenak udelnya membatalkan pesananpengiriman tdk muncul ditunggu sampai jam  sgnitdk munculujungnya dikatakan pembeli minta dikirim ulangpdahal tdk ada datang ngirim yg batalkan pesanan sy dari expedisipembatalan sepihak tp ujungnya sy yg dibilang membatalkanakhirnya sy tidak bisa cod saat codi blokir pihak shopeekecewa dn tdk ingin pake aplikasi jangka panjang,disini pelayanan kurang baik expedisi sering seenak udelnya membatalkan pesananpengiriman tidak muncul ditunggu sampai jam sgnitdk munculujungnya dikatakan pembeli meminta dikirim ulangpdahal tidak ada datang mengirim yang batalkan pesanan saya dari expedisipembatalan sepihak tapi ujungnya saya yang dibilang membatalkanakhirnya saya tidak bisa cod saat codi blokir pihak shopeekecewa dan tidak ingin pakai aplikasi jangka panjang,"['disini', 'pelayanan', 'kurang', 'baik', 'expedisi', 'sering', 'seenak', 'udelnya', 'membatalkan', 'pesananpengiriman', 'tidak', 'muncul', 'ditunggu', 'sampai', 'jam', 'sgnitdk', 'munculujungnya', 'dikatakan', 'pembeli', 'meminta', 'dikirim', 'ulangpdahal', 'tidak', 'ada', 'datang', 'mengirim', 'yang', 'batalkan', 'pesanan', 'saya', 'dari', 'expedisipembatalan', 'sepihak', 'tapi', 'ujungnya', 'saya', 'yang', 'dibilang', 'membatalkanakhirnya', 'saya', 'tidak', 'bisa', 'cod', 'saat', 'codi', 'blokir', 'pihak', 'shopeekecewa', 'dan', 'tidak', 'ingin', 'pakai', 'aplikasi', 'jangka', 'panjang']","['pelayanan', 'expedisi', 'seenak', 'udelnya', 'membatalkan', 'pesananpengiriman', 'muncul', 'ditunggu', 'jam', 'sgnitdk', 'munculujungnya', 'pembeli', 'dikirim', 'ulangpdahal', 'mengirim', 'batalkan', 'pesanan', 'expedisipembatalan', 'ujungnya', 'dibilang', 'membatalkanakhirnya', 'cod', 'codi', 'blokir', 'shopeekecewa', 'pakai', 'aplikasi', 'jangka']",layan expedisi enak udel batal pesananpengiriman muncul tunggu jam sgnitdk munculujungnya beli kirim ulangpdahal kirim batal pesan expedisipembatalan ujung bilang membatalkanakhirnya cod codi blokir shopeekecewa pakai aplikasi jangka,negatif
2025-07-10 22:55:17,Pengguna Google,4,dtng sesuai pesanan,dtng sesuai pesanan,dtng sesuai pesanan,dtng sesuai pesanan,"['dtng', 'sesuai', 'pesanan']","['dtng', 'sesuai', 'pesanan']",dtng sesuai pesan,positif
2025-07-10 22:53:29,Pengguna Google,5,sangat mendukung,sangat mendukung,sangat mendukung,sangat mendukung,"['sangat', 'mendukung']",['mendukung'],dukung,positif
2025-07-10 22:51:27,Pengguna Google,5,apk yg sangat membantu,apk yg sangat membantu,apk yg sangat membantu,apk yang sangat membantu,"['apk', 'yang', 'sangat', 'membantu']","['apk', 'membantu']",apk bantu,Negatif
2025-07-10 22:49:59,Pengguna Google,4,polisi,polisi,polisi,polisi,['polisi'],['polisi'],polisi,Positif
2025-07-10 22:47:21,Pengguna Google,1,kalau ada iklannya di browser susah di skip nya anjir,kalau ada iklannya di browser susah di skip nya anjir,kalau ada iklannya di browser susah di skip nya anjir,kalau ada iklannya di browser susah di skip ya anjir,"['kalau', 'ada', 'iklannya', 'di', 'browser', 'susah', 'di', 'skip', 'ya', 'anjir']","['iklannya', 'browser', 'susah', 'skip', 'ya', 'anjir']",iklan browser susah skip ya anjir,Negatif
2025-07-10 22:46:55,Pengguna Google,5,bagus aplikasinya untuk pesan barang,bagus aplikasinya untuk pesan barang,bagus aplikasinya untuk pesan barang,bagus aplikasinya untuk pesan barang,"['bagus', 'aplikasinya', 'untuk', 'pesan', 'barang']","['bagus', 'aplikasinya', 'pesan', 'barang']",bagus aplikasi pesan barang,negatif
2025-07-10 22:46:30,Pengguna Google,5,"barang bgus, amanah",barang bgus amanah,barang bgus amanah,barang bagus amanah,"['barang', 'bagus', 'amanah']","['barang', 'bagus', 'amanah']",barang bagus amanah,positif
2025-07-10 22:45:32,Pengguna Google,5,Mantap Shopee Saya seneng bgt pake shopee belanja terus pakai shopee,Mantap Shopee Saya seneng bgt pake shopee belanja terus pakai shopee,mantap shopee saya seneng bgt pake shopee belanja terus pakai shopee,mantap shopee saya senang banget pakai shopee belanja terus pakai shopee,"['mantap', 'shopee', 'saya', 'senang', 'banget', 'pakai', 'shopee', 'belanja', 'terus', 'pakai', 'shopee']","['mantap', 'shopee', 'senang', 'banget', 'pakai', 'shopee', 'belanja', 'pakai', 'shopee']",mantap shopee senang banget pakai shopee belanja pakai shopee,positif
2025-07-10 22:44:48,Pengguna Google,5,mantap,mantap,mantap,mantap,['mantap'],['mantap'],mantap,positif
2025-07-10 22:40:24,Pengguna Google,5,terimakasih shopee belanja mudah😍,terimakasih shopee belanja mudah,terimakasih shopee belanja mudah,terimakasih shopee belanja mudah,"['terimakasih', 'shopee', 'belanja', 'mudah']","['terimakasih', 'shopee', 'belanja', 'mudah']",terimakasih shopee belanja mudah,positif
2025-07-10 22:38:18,Pengguna Google,5,shopee isthebest,shopee isthebest,shopee isthebest,shopee isthebest,"['shopee', 'isthebest']","['shopee', 'isthebest']",shopee isthebest,Positif
2025-07-10 22:38:03,Pengguna Google,5,memuaskan,memuaskan,memuaskan,memuaskan,['memuaskan'],['memuaskan'],muas,positif
2025-07-10 22:37:50,Pengguna Google,5,belanja online lebih nyaman,belanja online lebih nyaman,belanja online lebih nyaman,belanja online lebih nyaman,"['belanja', 'online', 'lebih', 'nyaman']","['belanja', 'online', 'nyaman']",belanja online nyaman,positif
2025-07-10 22:36:22,Pengguna Google,4,"dengan hormat, Shopee sangat membantu untuk belanja online. tapi mohon untuk tingkatkan beberapa hal, misalnya seperti cara pembayaran di tambah dengan apk goopy atau dana Terima kasih🙏🙏",dengan hormat Shopee sangat membantu untuk belanja online tapi mohon untuk tingkatkan beberapa hal misalnya seperti cara pembayaran di tambah dengan apk goopy atau dana Terima kasih,dengan hormat shopee sangat membantu untuk belanja online tapi mohon untuk tingkatkan beberapa hal misalnya seperti cara pembayaran di tambah dengan apk goopy atau dana terima kasih,dengan hormat shopee sangat membantu untuk belanja online tapi mohon untuk tingkatkan beberapa hal misalnya seperti cara pembayaran di tambah dengan apk goopy atau dana terima kasih,"['dengan', 'hormat', 'shopee', 'sangat', 'membantu', 'untuk', 'belanja', 'online', 'tapi', 'mohon', 'untuk', 'tingkatkan', 'beberapa', 'hal', 'misalnya', 'seperti', 'cara', 'pembayaran', 'di', 'tambah', 'dengan', 'apk', 'goopy', 'atau', 'dana', 'terima', 'kasih']","['hormat', 'shopee', 'membantu', 'belanja', 'online', 'mohon', 'tingkatkan', 'pembayaran', 'apk', 'goopy', 'dana', 'terima', 'kasih']",hormat shopee bantu belanja online mohon tingkat bayar apk goopy dana terima kasih,positif
2025-07-10 22:34:51,Pengguna Google,5,tempat blanja kebutuhan selalu ada,tempat blanja kebutuhan selalu ada,tempat blanja kebutuhan selalu ada,tempat blanja kebutuhan selalu ada,"['tempat', 'blanja', 'kebutuhan', 'selalu', 'ada']","['blanja', 'kebutuhan']",blanja butuh,negatif
2025-07-10 22:33:37,Pengguna Google,5,sangat puas bnget bguss belanja di Sofie 🥰,sangat puas bnget bguss belanja di Sofie ,sangat puas bnget bguss belanja di sofie ,sangat puas banget bguss belanja di sofie,"['sangat', 'puas', 'banget', 'bguss', 'belanja', 'di', 'sofie']","['puas', 'banget', 'bguss', 'belanja', 'sofie']",puas banget bguss belanja sofie,positif
2025-07-10 22:33:07,Pengguna Google,5,paket cepat sampai & SESUAI IKLAN,paket cepat sampai  SESUAI IKLAN,paket cepat sampai  sesuai iklan,paket cepat sampai sesuai iklan,"['paket', 'cepat', 'sampai', 'sesuai', 'iklan']","['paket', 'cepat', 'sesuai', 'iklan']",paket cepat sesuai iklan,positif
2025-07-10 22:32:36,Pengguna Google,1,"ganti mitra pengiriman shoppe jngan spx lambat,nggak jelas,ngak sesuai estimasi",ganti mitra pengiriman shoppe jngan spx lambatnggak jelasngak sesuai estimasi,ganti mitra pengiriman shoppe jngan spx lambatnggak jelasngak sesuai estimasi,ganti mitra pengiriman shoppe jangan spx lambatnggak jelasngak sesuai estimasi,"['ganti', 'mitra', 'pengiriman', 'shoppe', 'jangan', 'spx', 'lambatnggak', 'jelasngak', 'sesuai', 'estimasi']","['ganti', 'mitra', 'pengiriman', 'shoppe', 'spx', 'lambatnggak', 'jelasngak', 'sesuai', 'estimasi']",ganti mitra kirim shoppe spx lambatnggak jelasngak sesuai estimasi,positif
2025-07-10 22:31:44,Pengguna Google,5,baguss sih tapi kenapa g bisa cod 😭 pdahal g pernah retur paket,baguss sih tapi kenapa g bisa cod  pdahal g pernah retur paket,baguss sih tapi kenapa g bisa cod  pdahal g pernah retur paket,bagus sih tapi kenapa tidak bisa cod padahal tidak pernah retur paket,"['bagus', 'sih', 'tapi', 'kenapa', 'tidak', 'bisa', 'cod', 'padahal', 'tidak', 'pernah', 'retur', 'paket']","['bagus', 'sih', 'cod', 'retur', 'paket']",bagus sih cod retur paket,positif
2025-07-10 22:29:17,Pengguna Google,5,Good,Good,good,good,['good'],['good'],good,positif
2025-07-10 22:29:08,Pengguna Google,5,tepar cepat memuaskam,tepar cepat memuaskam,tepar cepat memuaskam,tepar cepat memuaskam,"['tepar', 'cepat', 'memuaskam']","['tepar', 'cepat', 'memuaskam']",tepar cepat memuaskam,Negatif
2025-07-10 22:27:15,Pengguna Google,5,siiip,siiip,siiip,siiip,['siiip'],['siiip'],siiip,Positif
2025-07-10 22:26:06,Pengguna Google,5,"Saya sangat suka dengan aplikasi shopee barang bagus dan bykin promonya, pelayanan nya juga cepat dlm pengantaran serta banyak perubahan dalam hal pengiriman paket nya dan kurirnya juga baik semuanya, semoga semua yg terlibat selalu di berikan kelancaran dan kesuksesan..Aamiin Yaa robbal Alamiin.",Saya sangat suka dengan aplikasi shopee barang bagus dan bykin promonya pelayanan nya juga cepat dlm pengantaran serta banyak perubahan dalam hal pengiriman paket nya dan kurirnya juga baik semuanya semoga semua yg terlibat selalu di berikan kelancaran dan kesuksesanAamiin Yaa robbal Alamiin,saya sangat suka dengan aplikasi shopee barang bagus dan bykin promonya pelayanan nya juga cepat dlm pengantaran serta banyak perubahan dalam hal pengiriman paket nya dan kurirnya juga baik semuanya semoga semua yg terlibat selalu di berikan kelancaran dan kesuksesanaamiin yaa robbal alamiin,saya sangat suka dengan aplikasi shopee barang bagus dan bykin promonya pelayanan ya juga cepat dalam pengantaran serta banyak perubahan dalam hal pengiriman paket ya dan kurirnya juga baik semuanya semoga semua yang terlibat selalu di berikan kelancaran dan kesuksesanaamiin ya robbal alamiin,"['saya', 'sangat', 'suka', 'dengan', 'aplikasi', 'shopee', 'barang', 'bagus', 'dan', 'bykin', 'promonya', 'pelayanan', 'ya', 'juga', 'cepat', 'dalam', 'pengantaran', 'serta', 'banyak', 'perubahan', 'dalam', 'hal', 'pengiriman', 'paket', 'ya', 'dan', 'kurirnya', 'juga', 'baik', 'semuanya', 'semoga', 'semua', 'yang', 'terlibat', 'selalu', 'di', 'berikan', 'kelancaran', 'dan', 'kesuksesanaamiin', 'ya', 'robbal', 'alamiin']","['suka', 'aplikasi', 'shopee', 'barang', 'bagus', 'bykin', 'promonya', 'pelayanan', 'ya', 'cepat', 'pengantaran', 'perubahan', 'pengiriman', 'paket', 'ya', 'kurirnya', 'semoga', 'terlibat', 'kelancaran', 'kesuksesanaamiin', 'ya', 'robbal', 'alamiin']",suka aplikasi shopee barang bagus bykin promonya layan ya cepat antar ubah kirim paket ya kurir moga libat lancar kesuksesanaamiin ya robbal alamiin,positif
2025-07-10 22:25:58,Pengguna Google,5,M A N T U L. .. BROOO ....!?,M A N T U L  BROOO ,m a n t u l  brooo ,sama a n t lu l brooo,"['sama', 'a', 'n', 't', 'lu', 'l', 'brooo']","['a', 'n', 't', 'lu', 'l', 'brooo']",a n t lu l brooo,Negatif
2025-07-10 22:25:08,Pengguna Google,5,sangat memuaskan,sangat memuaskan,sangat memuaskan,sangat memuaskan,"['sangat', 'memuaskan']",['memuaskan'],muas,positif
2025-07-10 22:24:55,Pengguna Google,1,kebanyakan iklan jdi ngelag,kebanyakan iklan jdi ngelag,kebanyakan iklan jdi ngelag,kebanyakan iklan jadi ngelag,"['kebanyakan', 'iklan', 'jadi', 'ngelag']","['kebanyakan', 'iklan', 'ngelag']",banyak iklan ngelag,Positif
2025-07-10 22:24:09,Pengguna Google,5,sep,sep,sep,sep,['sep'],['sep'],sep,Negatif
2025-07-10 22:23:22,Pengguna Google,5,semakin di update semakin berat apakah nya ngeleg pake hp android 11,semakin di update semakin berat apakah nya ngeleg pake hp android ,semakin di update semakin berat apakah nya ngeleg pake hp android ,semakin di update semakin berat apakah ya ngeleg pakai hp android,"['semakin', 'di', 'update', 'semakin', 'berat', 'apakah', 'ya', 'ngeleg', 'pakai', 'hp', 'android']","['update', 'berat', 'ya', 'ngeleg', 'pakai', 'hp', 'android']",update berat ya ngeleg pakai hp android,positif
2025-07-10 22:19:25,Pengguna Google,1,lagi main gem malah iklan gak bisa di pencet 😡😡😡,lagi main gem malah iklan gak bisa di pencet ,lagi main gem malah iklan gak bisa di pencet ,lagi main gem malah iklan tidak bisa di pencet,"['lagi', 'main', 'gem', 'malah', 'iklan', 'tidak', 'bisa', 'di', 'pencet']","['main', 'gem', 'iklan', 'pencet']",main gem iklan pencet,negatif
2025-07-10 22:17:56,Pengguna Google,5,sangat puass,sangat puass,sangat puass,sangat puass,"['sangat', 'puass']",['puass'],puass,Positif
2025-07-10 22:17:15,Pengguna Google,5,siip,siip,siip,sip,['sip'],['sip'],sip,Negatif
2025-07-10 22:17:05,Pengguna Google,5,Maaf ada masalah di aktipasi sebagian akun saya🙏🏼🙏🏼,Maaf ada masalah di aktipasi sebagian akun saya,maaf ada masalah di aktipasi sebagian akun saya,maaf ada masalah di aktipasi sebagian akun saya,"['maaf', 'ada', 'masalah', 'di', 'aktipasi', 'sebagian', 'akun', 'saya']","['maaf', 'aktipasi', 'akun']",maaf aktipasi akun,Positif
2025-07-10 22:16:50,Pengguna Google,4,barang sampai tepat waktu &banyak diskon,barang sampai tepat waktu banyak diskon,barang sampai tepat waktu banyak diskon,barang sampai tepat waktu banyak diskon,"['barang', 'sampai', 'tepat', 'waktu', 'banyak', 'diskon']","['barang', 'diskon']",barang diskon,positif
2025-07-10 22:15:45,Pengguna Google,5,selama saya memesan barang di shopee selalu memuaskan tidak pernah mengecewakan saya dan juga kurirnya sangat baik dan terpercaya,selama saya memesan barang di shopee selalu memuaskan tidak pernah mengecewakan saya dan juga kurirnya sangat baik dan terpercaya,selama saya memesan barang di shopee selalu memuaskan tidak pernah mengecewakan saya dan juga kurirnya sangat baik dan terpercaya,selama saya memesan barang di shopee selalu memuaskan tidak pernah mengecewakan saya dan juga kurirnya sangat baik dan terpercaya,"['selama', 'saya', 'memesan', 'barang', 'di', 'shopee', 'selalu', 'memuaskan', 'tidak', 'pernah', 'mengecewakan', 'saya', 'dan', 'juga', 'kurirnya', 'sangat', 'baik', 'dan', 'terpercaya']","['memesan', 'barang', 'shopee', 'memuaskan', 'mengecewakan', 'kurirnya', 'terpercaya']",mes barang shopee muas kecewa kurir percaya,positif
2025-07-10 22:15:14,Pengguna Google,5,bestttt,bestttt,bestttt,bestttt,['bestttt'],['bestttt'],bestttt,Negatif
2025-07-10 22:15:07,Pengguna Google,5,mantap meeen,mantap meeen,mantap meeen,mantap meeen,"['mantap', 'meeen']","['mantap', 'meeen']",mantap meeen,positif
2025-07-10 22:14:46,Pengguna Google,5,barang yg d jual berkualitas dan dapat garansi tepat waktu,barang yg d jual berkualitas dan dapat garansi tepat waktu,barang yg d jual berkualitas dan dapat garansi tepat waktu,barang yang di jual berkualitas dan dapat garansi tepat waktu,"['barang', 'yang', 'di', 'jual', 'berkualitas', 'dan', 'dapat', 'garansi', 'tepat', 'waktu']","['barang', 'jual', 'berkualitas', 'garansi']",barang jual kualitas garansi,positif
